,Cadena_Productiva
1039,GANADERIADP
1040,GANADERIADP
1043,GANADERIADP
1044,GANADERIADP
1052,GANADERIADP
1060,GANADERIADP
1061,GANADERIADP
1063,GANADERIADP
1066,GANADERIADP
1068,GANADERIADP
1071,GANADERIADP
1083,GANADERIADP
1102,GANADERIADP
1105,GANADERIADP
1112,GANADERIADP
1129,GANADERIADP
1142,GANADERIADP
1147,GANADERIADP
1148,GANADERIADP
1150,GANADERIADP
1153,GANADERIADP
1154,GANADERIADP
1155,GANADERIADP
1156,GANADERIADP
1157,GANADERIADP
1160,GANADERIADP
1164,GANADERIADP
1165,GANADERIADP
1166,GANADERIADP
1167,GANADERIADP
1168,GANADERIADP
1169,GANADERIADP
1174,GANADERIADP
1175,GANADERIADP
1204,GANADERIADP
1209,GANADERIADP
1210,GANADERIADP
1217,GANADERIADP
1228,GANADERIADP
1229,GANADERIADP
1230,GANADERIADP
1232,GANADERIADP
1235,GANADERIADP
1237,GANADERIADP
1239,GANADERIADP
1242,GANADERIADP
1243,GANADERIADP
1248,GANADERIADP
1250,GANADERIADP
1251,GANADERIADP
1253,GANADERIADP
1255,GANADERIADP
1258,GANADERIADP
1265,GANADERIADP
1267,GANADERIADP
1268,GANADERIADP
1271,GANADERIADP
1272,GANADERIADP
1274,GANADERIADP
1278,GANADERIADP
1284,GANADERIADP
1288,GANADERIADP
1290,GANADERIADP
1292,GANADERIADP
1295,GANADERIADP
1302,GANADERIADP
1306,GANADERIADP
1309,GANADERIADP
1311,GANADERIADP
1312,GANADERIADP
1314,GANADERIADP
1315,GANADERIADP
1317,GANADERIADP
1319,GANADERIADP
1320,GANADERIADP
1322,GANADERIADP
1324,GANADERIADP
1342,GANADERIADP
1349,GANADERIADP
1352,GANADERIADP
1353,GANADERIADP
1354,GANADERIADP
1355,GANADERIADP
1356,GANADERIADP
1357,GANADERIADP
1358,GANADERIADP
1360,GANADERIADP
1361,GANADERIADP
1362,GANADERIADP
1363,GANADERIADP
1377,GANADERIADP
1382,GANADERIADP
1388,GANADERIADP
1394,GANADERIADP
1406,GANADERIADP
1427,GANADERIADP
1429,GANADERIADP
1433,GANADERIADP
1434,GANADERIADP
1436,GANADERIADP
1440,GANADERIADP
1442,GANADERIADP
1444,GANADERIADP
1445,GANADERIADP
1446,GANADERIADP
1447,GANADERIADP
1448,GANADERIADP
1449,GANADERIADP
1451,GANADERIADP
1454,GANADERIADP
1455,GANADERIADP
1457,GANADERIADP
1461,GANADERIADP
1463,GANADERIADP
1464,GANADERIADP
1467,GANADERIADP
1468,GANADERIADP
1471,GANADERIADP
1487,GANADERIADP
1489,GANADERIADP
1490,GANADERIADP
1495,GANADERIADP
1499,GANADERIADP
1501,GANADERIADP
1503,GANADERIADP
1504,GANADERIADP
1506,GANADERIADP
1509,GANADERIADP
1510,GANADERIADP
1511,GANADERIADP
1513,GANADERIADP
1517,GANADERIADP
1518,GANADERIADP
1521,GANADERIADP
1529,GANADERIADP
1531,GANADERIADP
1544,GANADERIADP
1545,GANADERIADP
1567,GANADERIADP
1569,GANADERIADP
1570,GANADERIADP
1573,GANADERIADP
1574,GANADERIADP
1575,GANADERIADP
1577,GANADERIADP
1580,GANADERIADP
1585,GANADERIADP
1591,GANADERIADP
1597,GANADERIADP
1598,GANADERIADP
1599,GANADERIADP
1625,GANADERIADP
1627,GANADERIADP
1634,GANADERIADP
1649,GANADERIADP
1664,GANADERIADP
1680,GANADERIADP
1681,GANADERIADP
1694,GANADERIADP
1727,GANADERIADP
1729,GANADERIADP
1732,GANADERIADP
1733,GANADERIADP
1745,GANADERIADP
1757,GANADERIADP
1763,GANADERIADP
2002,GANADERIADP
2008,GANADERIADP
2012,GANADERIADP
2013,GANADERIADP
2014,GANADERIADP
2017,GANADERIADP
