cadena_cultivo|mes_anio|promedio_exportaciones|promedio_exportaciones_superior|promedio_exportaciones_inferior|valor_real
ACELGA|201912|0.214485737860942|0.912041658798868|0|1
ACELGA|201811|0.0231957087770708|0.705533068872685|0|0
ACELGA|202105|5.20880621395184|5.87906340077055|4.52422573733724|5.20880621395184
ACELGA|201809|0.0328608760935973|0.702597490541982|0|0
ACELGA|202001|2.82127380250694|3.48009395592419|2.11859363396936|2.82127380250694
ACELGA|201610|0.138102889204948|0.812595406422889|0|0
ACELGA|201710|0.305155895919378|0.961800268772079|0|0
ACHICORIA|202003|30.3724400217289|43.2181372370126|18.4154090435295|30.3724400217289
ACHICORIA|202006|44.8109734933615|58.1781347489826|31.8852551262809|44.8109734933615
ACHICORIA|201712|20.5281303904625|33.8068253342986|8.37784521297618|18
ACHICORIA|202104|15.0307288632847|28.2253099607895|2.46785027794905|14
ACHICORIA|201901|14.0626400527245|26.6763163727376|2.46785027794905|8
ACHICORIA|201509|21.9206611008977|34.6963006658946|8.86313730865526|16
ACHICORIA|201902|10.8917823204417|23.3511168540673|2.46785027794905|5
ACHICORIA|202009|15.0307288632847|28.2253099607895|2.46785027794905|14
ACHICORIA|202101|41.9936534870629|53.7413024890559|29.1314022943122|41.9936534870629
ACHICORIA|202002|15.0307288632847|28.2253099607895|2.46785027794905|14
ACHICORIA|202011|15.0307288632847|9.87273926971508|2.46785027794905|14
ACHICORIA|201709|10.5120676410247|22.8954545120994|2.46785027794905|22
ACHICORIA|201905|4.99203617329082|17.5770012897393|2.46785027794905|4
ACHICORIA|201601|21.3499885438525|34.4396925025769|9.668419247949|18
ACHICORIA|202012|16.2417596346541|29.7409947619375|3.78413721743961|16.2417596346541
ACHICORIA|202102|15.0307288632847|28.2253099607895|2.46785027794905|14
ACHICORIA|202007|15.0307288632847|28.2253099607895|2.46785027794905|14
ACHICORIA|202005|18.0001154230473|30.1927812246514|4.60366711051179|18.0001154230473
ACHICORIA|201611|12.9157110785913|25.1951121856006|2.46785027794905|22
ACHICORIA|201809|10.9844458658276|22.5787662837963|2.46785027794905|7
ACHICORIA|201708|28.0333857695512|40.6573164713486|14.7247064438277|20
