AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Id_Predio;AP_Departamento;AP_Municipio;AP_Longitud_Predio 12;AP_Latitud_Predio 13;AP_Longitud_Predio 13;AP_Latitud_Predio 14;AP_Longitud_Predio 14;AP_Latitud_Predio 15;AP_Latitud_Predio 16;AP_Latitud_Predio 17;AP_Latitud_Predio 18;AP_Latitud_Predio 19;AP_Latitud_Predio 20;AP_Latitud_Predio 21;AP_Latitud_Predio 22;AP_Latitud_Predio 23;AP_Latitud_Predio 24;AP_Latitud_Predio 25
183;1;AGRICOLA;10;ANTIOQUIA;Don Matias;-75.2916;6.5166;-75.29159167;6.516466667;-75.29173333;6.516761111;-75.29146389;6.516786111;;;;;;;;
183;1;AGRICOLA;11;ANTIOQUIA;Don Matias;-75.29048333;6.520416667;-75.29042222;6.520397222;-75.29044722;6.520416667;-75.29045556;6.520247222;;;;;;;;
183;1;AGRICOLA;12;ANTIOQUIA;Don Matias;-75.28603333;6.513983333;-75.28596667;6.513927778;-75.28606111;6.513936111;-75.28605833;6.513883333;;;;;;;;
183;1;AGRICOLA;13;ANTIOQUIA;Don Matias;-75.28609444;6.514986111;-75.28515556;6.515038889;-75.28575833;6.514922222;-75.28573889;6.514905556;;;;;;;;
183;1;AGRICOLA;14;ANTIOQUIA;Don Matias;-75.28651667;6.507333333;-75.28659722;6.507369444;-75.28656111;6.507277778;-75.28659444;6.507291667;;;;;;;;
183;1;AGRICOLA;15;ANTIOQUIA;Don Matias;-75.2843;6.516333333;-75.28425556;6.516263889;-75.28435;6.515683333;-75.28447222;6.516236111;;;;;;;;
183;1;AGRICOLA;16;ANTIOQUIA;Don Matias;-75.28695;6.509291667;-75.28692222;6.509375;-75.28688056;6.509327778;-75.28690556;6.509269444;;;;;;;;
183;1;AGRICOLA;17;ANTIOQUIA;Don Matias;-75.28831667;6.520511111;-75.28830278;6.520080556;-75.28805278;6.520436111;-75.28807222;6.520055556;;;;;;;;
183;1;AGRICOLA;18;ANTIOQUIA;Don Matias;-75.28518333;6.508066667;-75.28509722;6.507991667;-75.28526389;6.507961111;-75.28518333;6.507888889;;;;;;;;
183;1;AGRICOLA;19;ANTIOQUIA;Don Matias;-75.27751667;6.505383333;-75.27759722;6.505263889;-75.27750833;6.505294444;-75.27755833;6.505266667;;;;;;;;
183;1;AGRICOLA;20;ANTIOQUIA;Don Matias;-75.28428333;6.516416667;-75.28433889;6.516277778;-75.28442222;6.516441667;-75.28451389;6.516391667;;;;;;;;
