Id_Usuario;Sexo;Tipo_Poblacional;Discapacidad;Departamento;Municipio;Vereda;Predio;Cadena_Productiva;C1A1;C2A1;C3A1;C4A1;C5A1;C6A1;C7A1;C8A1;C9A1;C10A1;NA1;C1A2;C2A2;C3A2;C4A2;C5A2;C6A2;C7A2;NA2;C1A3;C2A3;C3A3;C4A3;C5A3;NA3;C1A4;C2A4;C3A4;C4A4;NA4;C1A5;C2A5;C3A5;C4A5;NA5;CLAS_GRAL;CADENA_PRODUCTIVA_ADR;ID_ADR;Tipo de proyecto
3662;F;NINGUNA;NO;BOLIVAR;13468;RINCONADA;KARATE;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3663;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3664;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LAS BRISAS;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3665;F;NINGUNA;NO;BOLIVAR;13468;ANCON;LA PLAYA;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3668;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3669;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;MUÑOZ;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3670;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LA ENVIDIA;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3671;F;NINGUNA;NO;BOLIVAR;13468;RINCONADA;KARATE;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3672;F;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3673;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3675;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3676;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;EL CONTENTO;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3677;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3678;F;NINGUNA;NO;BOLIVAR;13468;AGRÍCOLA;MAÍZ;MAIZ;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3679;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;DIOS ME VEA;MAIZ;2;3;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3680;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LAS PLAYAS;MAIZ;4;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3681;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LA ESPERANZA;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3684;M;NINGUNA;NO;BOLIVAR;13657;CORRALITO ;VISTA HERMOSA ;MAIZ;2;1;1;2;2;3;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3697;F;NINGUNA;NO;BOLIVAR;13873;BAJO TABACAL;NO TIENE;MAIZ;3;3;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3698;F;NINGUNA;NO;BOLIVAR;13873;BAJO TABACAL;CASA DE ZINC;MAIZ;3;3;1;1;1;1;1;1;1;1;1;4;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
