DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD,key,cluster
CASANARE,TAMARA,196,603679500,378304271,2014,PLATANO,PERMANENTE,10.0,0.9166666666666666,394,3
ATLANTICO,MALAMBO,0,122334000,27697087,2012,MELON,TRANSITORIO,37.5,1.0,914,0
BOYACA,VENTAQUEMADA,0,838705,214320,2012,UCHUVA,PERMANENTE,15.0,0.5714285714285714,900,0
ATLANTICO,MANATI,48,0,0,2013,MAIZ,TRANSITORIO,0.55,0.43337783711615485,746,2
NORTE DE SANTANDER,SAN CALIXTO,164,606144000,366090000,2014,YUCA,ANUAL,6.0,0.98,198,3
BOLIVAR,SAN JACINTO,0,258415200,105303800,2012,ÑAME,ANUAL,12.0,1.0,906,0
CORDOBA,MOÑITOS,40,123199970,35800000,2014,PLATANO,PERMANENTE,8.6,0.9801099611901681,355,0
LA GUAJIRA,DIBULLA,48,177406080,51582500,2014,ÑAME,ANUAL,12.0,0.26666666666666666,323,2
NORTE DE SANTANDER,CONVENCIÓN,39,345194000,128910000,2017,PLATANO,PERMANENTE,6.617921052631577,0.9472530625198595,979,0
LA GUAJIRA,RIOHACHA,0,374022000,38863000,2012,ÑAME,ANUAL,9.0,0.9465648854961832,827,0
NARIÃ‘O,SAMANIEGO,44,160270000,17820000,2014,CEBOLLA DE BULBO,TRANSITORIO,12.0,1.0,235,0
LA GUAJIRA,RIOHACHA,64,226364770,103074103,2013,TOMATE,TRANSITORIO,18.5,1.0,578,0
CHOCO,BAGADÓ,127,336281247,184327940,2017,PLATANO,PERMANENTE,6.472403314917125,0.8317325445740518,947,0
CUNDINAMARCA,"TOPAIPÍ, PACHO, SAN ANTONIO DE TEQUENDAMA, CABRERA, CHOACHÍ, GAMA, GACHALÁ, GACHETÁ, PANDI, PASCA, FOSCA, FUSAGASUGÁ, EL COLEGIO",170,2479938287,912830408,2017,AGUACATE,PERMANENTE,6.624626865671644,0.5563069963213686,941,1
BOLIVAR,SAN JACINTO,0,380822400,111238600,2012,ÑAME,ANUAL,12.0,1.0,905,0
META,EL CASTILLO,40,123200000,35069813,2014,YUCA,ANUAL,15.0,1.0,299,0
NORTE DE SANTANDER,CONVENCION,36,139104000,76410000,2015,PEPINO COHOMBRO,TRANSITORIO,25.0,1.0,60,0
HUILA,SANTA MARIA,492,1402938000,395137500,2014,GRANADILLA,PERMANENTE,16.0,0.6346153846153846,327,3
SANTANDER,GUAVATA,92,271141900,163482000,2013,PLATANO,PERMANENTE,10.0,0.8387096774193549,527,0
CUNDINAMARCA,PACHO,92,271170000,120389600,2013,PAPA,TRANSITORIO,13.5,0.7367121848739496,599,0
NORTE DE SANTANDER,GRAMALOTE,44,129690000,60665000,2013,TANGELO,PERMANENTE,10.0,0.6,541,2
CAUCA,POPAYAN,0,70698438,22494400,2013,YUCA,ANUAL,5.2,0.8181818181818182,650,0
VALLE DEL CAUCA,EL CAIRO,0,39790800,22411200,2012,LULO,PERMANENTE,14.5,0.6666666666666666,771,0
GUAINIA,INIRIDA,16,47030950,14679000,2013,PLATANO,PERMANENTE,6.8,0.2782608695652174,596,2
NARIÃ‘O,TUMACO,160,0,0,2013,PALMITO,PERMANENTE,12.0,1.0,542,0
SUCRE,SAN ONOFRE,0,54403200,13792600,2012,PLATANO,PERMANENTE,8.0,0.8529411764705882,782,0
META,CABUYARO,60,184765600,62925000,2014,ARROZ,TRANSITORIO,5.38,1.0,305,0
LA GUAJIRA,FONSECA,12,36944200,18516250,2014,LIMON,PERMANENTE,15.0,0.8695652173913043,318,0
VALLE DEL CAUCA,BUENAVENTURA,92,325404000,173880000,2013,COCO,PERMANENTE,12.0,1.0,481,0
TOLIMA,VILLAHERMOSA,96,282740160,184848000,2013,PAPA,TRANSITORIO,15.0,1.0,493,0
NARIÃ‘O,GUACHUCAL,20,43600000,78800000,2014,PAPA,TRANSITORIO,16.0,0.9693650793650793,265,0
BOLIVAR,SANTA ROSA,132,388245000,243375150,2015,LIMON,PERMANENTE,7.0,0.75,110,0
VALLE DEL CAUCA,ROLDANILLO,20,58544841,39242000,2013,MELON,TRANSITORIO,35.0,1.0,468,0
ATLANTICO,SABANALARGA,64,0,0,2013,AHUYAMA,TRANSITORIO,20.0,0.95,737,0
SANTANDER,MOLAGAVITA,16,47064500,31470875,2013,FIQUE,PERMANENTE,1.8,1.0,525,0
NARIÃ‘O,GUACHUCAL,24,65000000,74800000,2014,PAPA,TRANSITORIO,16.0,0.9693650793650793,256,0
NARIÃ‘O,GUACHUCAL,68,71000000,79100000,2014,PAPA,TRANSITORIO,16.0,0.9693650793650793,260,0
NARIÃ‘O,TUMACO,300,1060154973,528475000,2013,PALMITO,PERMANENTE,12.0,1.0,544,3
CALDAS,PENSILVANIA,64,236544000,124350000,2014,TOMATE,TRANSITORIO,20.0,1.0,405,0
ATLANTICO,POLONUEVO,0,147840000,79660000,2014,YUCA,ANUAL,12.0,0.8148148148148148,428,0
CESAR,PUEBLO BELLO,0,0,0,2013,NARANJA,PERMANENTE,5.5,0.5955056179775281,629,2
TOLIMA,LIBANO,16,42935000,39444250,2013,CAÑA PANELERA,PERMANENTE,4.0,1.0,501,0
ARAUCA,TAME,24,88651000,38185000,2014,PIÑA,PERMANENTE,15.0,1.0,432,0
BOLIVAR,EL CARMEN DE BOLIVAR,36,139072822,63414916,2013,PLATANO,PERMANENTE,10.0,0.75125,732,0
VALLE DEL CAUCA,BUGALAGRANDE,24,88704000,68594000,2014,MARACUYA,PERMANENTE,14.0,1.0,137,0
CORDOBA,MONTERIA,0,0,0,2014,PATILLA,TRANSITORIO,26.0,0.922077922077922,357,0
CAUCA,"SANTANDER DE QUILICHAO, TORIBÍO",16,410400000,189208102,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,930,0
NARIÃ‘O,TUQUERRES,20,71000000,77390000,2014,REPOLLO,TRANSITORIO,23.0,1.0,221,0
ANTIOQUIA,SAN LUIS,28,98951100,56350000,2013,CAFE,PERMANENTE,0.5,0.7454545454545455,754,0
GUAINIA,INIRIDA,96,433781600,156544000,2013,PLATANO,PERMANENTE,6.8,0.2782608695652174,594,2
NARIÃ‘O,GUACHUCAL,92,61707000,61930000,2013,PAPA,TRANSITORIO,16.0,0.9493760635280772,557,0
CHOCO,TADO,280,0,0,2014,YUCA,ANUAL,5.0,1.0,363,3
SANTANDER,SABANA DE TORRES,40,141478560,136541440,2013,PIÑA,PERMANENTE,90.0,0.4032258064516129,523,0
NORTE DE SANTANDER,GRAMALOTE,28,103467000,42900000,2014,TANGELO,PERMANENTE,10.0,1.0,208,0
TOLIMA,ALVARADO,0,149608025,32296227,2012,PLATANO,PERMANENTE,4.0,0.8657407407407407,779,0
GUAVIARE,SAN JOSE DEL GUAVIARE,40,123200000,52731500,2014,PIÑA,PERMANENTE,25.0,0.2926829268292683,334,2
NORTE DE SANTANDER,GRAMALOTE,176,542080000,276760000,2014,TANGELO,PERMANENTE,10.0,1.0,210,0
CORDOBA,TIERRALTA,52,192191763,30610000,2014,ARROZ,TRANSITORIO,3.055,0.9418789808917197,350,0
CAUCA,PADILLA,12,38633040,6725280,2015,CIMARRON,TRANSITORIO,8.5,0.8571428571428572,78,0
PUTUMAYO,SIBUNDOY,240,773220000,211450000,2015,YACON,ANUAL,20.0,1.0,29,3
NARIÃ‘O,CUMBAL,76,69000000,76160000,2014,PAPA,TRANSITORIO,16.5,0.969047619047619,280,0
TOLIMA,LERIDA,52,152675575,103467000,2013,ARROZ,TRANSITORIO,7.050000000000001,1.0,507,0
CAUCA,MORALES,0,607431000,610500000,2013,MAIZ,TRANSITORIO,2.0,0.91875,653,0
CHOCO,BAGADÓ,124,418498400,120116000,2017,PLATANO,PERMANENTE,6.472403314917125,0.8317325445740518,948,0
META,SAN MARTIN,24,88704000,22162500,2014,MARACUYA,PERMANENTE,25.0,0.6,289,2
TOLIMA,CHAPARRAL,36,123200000,47750000,2014,ARRACACHA,ANUAL,8.0,1.0,165,0
VALLE DEL CAUCA,VIJES,0,311458200,69708000,2012,PIMENTON,TRANSITORIO,28.0,1.0,762,0
TOLIMA,PALOCABILDO,0,0,0,2013,AGUACATE,PERMANENTE,12.0,0.823321554770318,497,0
VALLE DEL CAUCA,TULUA,24,67741000,11325000,2013,CAÑA AZUCARERA,PERMANENTE,113.42,0.7998924152770307,462,0
NARIÃ‘O,IMUES,112,270378800,76770000,2015,TOMATE,TRANSITORIO,50.0,1.0,65,0
VALLE DEL CAUCA,BUGALAGRANDE,12,44332000,39979000,2014,MARACUYA,PERMANENTE,14.0,1.0,141,0
NARIÃ‘O,CUMBAL,84,71000000,79790000,2014,PAPA,TRANSITORIO,16.5,0.969047619047619,275,0
LA GUAJIRA,RIOHACHA,0,544032000,34801080,2012,ÑAME,ANUAL,9.0,0.9465648854961832,833,0
LA GUAJIRA,DIBULLA,92,356055258,194926053,2013,YUCA,ANUAL,12.0,0.9090909090909091,582,0
VALLE DEL CAUCA,TRUJILLO,0,175878000,69522500,2013,GUANABANA,PERMANENTE,22.0,0.3333333333333333,464,2
CASANARE,SAN LUIS DE PALENQUE,60,158831900,36652500,2013,PALMA DE ACEITE,PERMANENTE,3.5,0.953757225433526,669,0
LA GUAJIRA,FONSECA,32,98546600,39665000,2014,LIMON,PERMANENTE,15.0,0.8695652173913043,319,0
BOLIVAR,EL CARMEN DE BOLIVAR,20,58835000,20700000,2013,PLATANO,PERMANENTE,10.0,0.75125,716,0
META,CABUYARO,56,206976000,32060000,2014,ARROZ,TRANSITORIO,5.38,1.0,306,0
META,CABUYARO,36,110880000,30780000,2014,ARROZ,TRANSITORIO,5.38,1.0,307,0
LA GUAJIRA,RIOHACHA,0,108437600,44400000,2012,ÑAME,ANUAL,9.0,0.9465648854961832,826,0
